Jump,retOpen,Returns(120mins),Returns(90mins),Returns(60mins),Returns(30mins),Returns(15mins),ATR,EndBars,Target
0.999012,-0.362499,-0.169998,-0.072498,-0.004997,-0.035,0.042503,0.794683,24,4
0.999012,-0.375,-0.1675,-0.064999,0.02,0.030003,-0.012501,0.794683,23,4
0.999012,-0.377502,-0.087502,-0.02,-0.050003,-0.015003,-0.002502,0.794683,22,4
0.999012,-0.397499,-0.087498,-0.002499,0.007504,-0.022499,-0.019997,0.794683,21,4
0.999012,-0.505001,-0.147499,-0.177502,-0.142502,-0.127499,-0.107502,0.794683,20,4
0.999012,-0.505001,-0.110001,-0.099998,-0.130001,-0.107502,0,0.794683,19,4
0.999012,-0.502502,-0.175003,-0.140003,-0.125,0.002499,0.002499,0.794683,18,4
0.999012,-0.477501,-0.072498,-0.102501,-0.080002,0.0275,0.025002,0.794683,17,4
0.999012,-0.407501,-0.045002,-0.029999,0.0975,0.095001,0.07,0.794683,16,4
0.999012,-0.510002,-0.135002,-0.112503,-0.005001,-0.032501,-0.102501,0.794683,15,4
0.999012,-0.567501,-0.189999,-0.0625,-0.064999,-0.16,-0.057499,0.794683,14,4
0.999012,-0.549999,-0.1525,-0.044998,-0.072498,-0.039997,0.017502,0.794683,13,4
0.999012,-0.470001,0.035,0.032501,-0.0625,0.0975,0.079998,0.794683,12,4
0.999012,-0.41,0.095001,0.067501,0.100002,0.139999,0.060001,0.794683,11,4
0.999012,-0.360001,0.142502,0.047501,0.2075,0.110001,0.049999,0.794683,10,4
0.999012,-0.424999,0.052502,0.085003,0.125,-0.014999,-0.064999,0.794683,9,4
0.999012,-0.470001,-0.0625,0.0975,0,-0.110001,-0.045002,0.794683,8,4
0.999012,-0.3675,0.142502,0.182499,0.0425,0.057499,0.102501,0.794683,7,4
0.999012,-0.360001,0.2075,0.110001,0,0.110001,0.0075,0.794683,6,4
0.999012,-0.315002,0.234997,0.094997,0.109997,0.052498,0.044998,0.794683,5,4
